Country,Continent,Population,Annual_Growth_Rate,Area_sqkm,Density,Total_Fertility_Rate,Life_Expectancy_at_Birth,Under_5_Mortality_Rate,gdp,division,gdp_change
Croatia,Europe,4229585,-0.493,55974,75.6,1.4281,76.72,10.95,25300,The West,8.97163120567376
Cuba,Latin America,11058573,-0.246,109820,100.7,1.7096,79.18,5.36,8370,The Rest,3.402439024390244
Curaçao,Latin America,151370,0.347,444,340.9,2,78.96,9.25,NA,The Rest,NA
Cyprus,Asia,1267376,1.166,9241,137.1,1.4761,79.27,10.03,35100,The Rest,15.954545454545455
Czechia,Europe,10698037,0.05,77247,138.5,1.477,79.27,3.04,NA,The West,NA
Côte d'Ivoire,Africa,27470185,2.238,318003,86.4,3.67,61.34,81.32,NA,The Rest,NA
Denmark,Europe,5868927,0.435,42434,138.3,1.777,81.24,3.69,48900,The West,9.022140221402214
Djibouti,Africa,919627,2.037,23180,39.7,2.19,64.69,65.63,3710,The Rest,3.6019417475728157
Dominica,Latin America,74522,0.094,751,99.2,2.02,77.72,13.65,10900,The Rest,9.56140350877193
Dominican Republic,Latin America,10498946,0.942,48320,217.3,2.24,72,26.7,17100,The Rest,16.601941747572816
Ecuador,Latin America,16894461,1.182,276841,61,2.09,77.51,22.58,10100,The Rest,7.952755905511811
Egypt,Africa,104112503,2.243,995450,104.6,3.29,73.74,21.95,11800,The Rest,4.664031620553359
El Salvador,Latin America,6480810,0.781,20721,312.8,2.09,74.84,14.57,7610,The Rest,3.9842931937172774
Equatorial Guinea,Africa,837428,2.329,28051,29.9,4.11,66.02,90.83,17700,The Rest,34.980237154150196
Eritrea,Africa,6088682,0.942,101000,60.3,3.73,66.17,62.55,1420,The Rest,2.1712538226299696
Estonia,Europe,1228296,-0.661,42388,29,1.608,77.39,4.2,32900,The West,16.287128712871286
Eswatini,Africa,1104638,0.787,17204,64.2,2.52,58.56,54.87,9510,The Rest,13.171745152354571
Ethiopia,Africa,108108470,2.544,1096570,98.6,4.14,67.54,50.41,2000,The Rest,3.7105751391465676
Faroe Islands,Europe,51624,0.612,1393,37.1,2.313,80.83,7.85,NA,The West,NA
Fiji,Oceania,935139,0.481,18274,51.2,2.31,73.73,17.74,10200,The Rest,9.902912621359222
Finland,Europe,5572355,0.279,303815,18.3,1.7427,81.33,2.63,42900,The West,15.88888888888889
France,Europe,67858873,0.333,640427,106,2.0552,82.18,4.29,40400,The West,8.541226215644821
French Polynesia,Oceania,294891,0.777,3827,77.1,1.83,77.94,13.02,NA,The Rest,NA
Gabon,Africa,2230332,2.421,257667,8.7,3.41,69.03,44.86,16500,The Rest,27.82462057335582
"Gambia, The",Africa,2180783,1.862,10120,215.5,3.21,65.84,91.55,NA,The Rest,NA
Gaza Strip,Asia,1917031,2.081,360,5325.1,3.64,74.87,18.85,NA,The Rest,NA
Georgia,Asia,4930665,0.074,69700,70.7,1.7547,77,16.93,11300,The Rest,11.3
Germany,Europe,80069820,-0.207,348672,229.6,1.4732,81.08,3.99,46700,The West,7.744610281923714
Ghana,Africa,31643281,2.298,227533,139.1,3.76,68.65,47.29,4590,The Rest,6.3397790055248615
Gibraltar,Europe,29459,0.193,7,4208.4,1.9202,79.98,7.63,NA,The West,NA
Greece,Europe,10604841,-0.327,130647,81.2,1.3804,81.07,4.27,26300,The West,11.050420168067227
Greenland,North America,57797,0.012,2166086,0,1.938,73.43,11.43,NA,The West,NA
Grenada,Latin America,113165,0.368,344,329,1.96,75.22,13.58,14700,The Rest,10.88888888888889
Guam,Oceania,168489,0.192,544,309.7,2.84,77,13.36,NA,The Rest,NA
Guatemala,Latin America,17140193,1.655,107159,160,2.72,72.35,35.64,7720,The Rest,4.678787878787879
Guernsey,Europe,67173,0.243,78,861.2,1.5738,82.84,4.01,NA,The West,NA
Guinea,Africa,12527271,2.762,245717,51,4.92,63.15,78.7,2500,The Rest,4.6992481203007515
Guinea-Bissau,Africa,1927022,2.515,28120,68.5,4.75,62.83,77.45,1680,The Rest,2.767710049423394
Guyana,Latin America,786653,0.141,196849,4,2.08,71.3,27.66,8200,The Rest,3.923444976076555
Haiti,Latin America,11061439,1.238,27560,401.4,2.52,65.27,58.77,1640,The Rest,1.1468531468531469
Honduras,Latin America,9232097,1.242,111890,82.5,2.09,74.64,17.65,4720,The Rest,2.5106382978723403
Hong Kong,Asia,7248206,0.219,1073,6755.1,1.2105,83.22,3.55,NA,The Rest,NA
Hungary,Europe,9756400,-0.284,89608,108.9,1.4662,76.7,5.64,30600,The West,7.481662591687042
Iceland,Europe,350773,0.999,100250,3.5,1.97,83.26,2.62,47700,The West,20.29787234042553
India,Asia,1325349639,1.06,2973193,445.8,2.3,69.71,55.3,7630,The Rest,9.57340025094103
Indonesia,Asia,272856400,0.841,1811569,150.6,2.07,72.56,24.58,12500,The Rest,9.84251968503937
Iran,Asia,84982541,1.088,1531595,55.5,1.9416,74.87,17.78,15900,The Rest,7.794117647058823
Iraq,Asia,38828885,2.126,437367,88.8,3.39,72.62,24.62,16000,The Rest,3.1189083820662766
Ireland,Europe,5173463,1.007,68883,75.1,1.9385,81.23,4.18,74100,The West,15.246913580246913
Isle of Man,Europe,90381,0.583,572,158,1.9035,81.63,5.16,NA,The West,NA
Israel,Asia,8659792,1.466,21497,402.8,2.59,82.96,4.48,34400,The Rest,32.76190476190476
Italy,Europe,62335424,0.089,294140,211.9,1.4652,82.47,3.78,36100,The West,9.55026455026455
Jamaica,Latin America,2815048,0.047,10831,259.9,2.07,75.23,13.56,8350,The Rest,7.389380530973451
Japan,Asia,125135727,-0.348,364485,343.3,1.3677,84.47,2.61,40100,The Rest,21.559139784946236
Jersey,Europe,100782,0.701,116,868.8,1.6536,82.22,4.69,NA,The West,NA
Jordan,Asia,10819966,0.831,88802,121.8,3.04,75.49,16.89,8440,The Rest,4.562162162162162
Kazakhstan,Asia,19085226,0.863,2699700,7.1,2.16,71.97,22.57,26000,The Rest,10.56910569105691
Kenya,Africa,53513653,2.181,569140,94,3.43,68.95,41.03,3260,The Rest,2.786324786324786
Kiribati,Oceania,111814,1.06,811,137.9,2.25,67.27,44.59,2060,The Rest,3.4219269102990033
"Korea, North",Asia,25701731,0.514,120408,213.5,1.92,71.54,28.11,NA,The Rest,NA
"Korea, South",Asia,51577174,0.276,96920,532.2,1.08,82.58,3.56,NA,The Rest,NA
Kosovo,Europe,1922449,0.659,10887,176.6,1.9477,72.71,44.22,NA,The West,NA
Kuwait,Asia,2995271,1.24,17818,168.1,2.2647,78.67,9.51,64300,The Rest,29.227272727272727
Kyrgyzstan,Asia,5963777,0.94,191801,31.1,2.54,71.79,30.3,NA,The Rest,NA
Laos,Asia,7463435,1.488,230800,32.3,2.6133,65.66,68.49,NA,The Rest,NA
Latvia,Europe,1883186,-1.09,62249,30.3,1.5311,75.39,6.27,28100,The West,17.34567901234568
Lebanon,Asia,5463514,-8.058,10230,534.1,1.71,78.29,8.11,11900,The Rest,2.902439024390244
Lesotho,Africa,2162195,0.703,30355,71.2,2.98,58.2,69.2,2900,The Rest,7.795698924731183
Liberia,Africa,5073054,2.745,96320,52.7,4.9,64.74,63.32,1130,The Rest,1.1402623612512615
Libya,Africa,6890637,1.88,1759540,3.9,3.17,76.68,13.57,14600,The Rest,5.910931174089069
Liechtenstein,Europe,39137,0.738,160,244.6,1.6903,82.16,5.03,NA,The West,NA
Lithuania,Europe,2739816,-1.035,62680,43.7,1.6028,75.43,4.38,33500,The West,12.226277372262773
Luxembourg,Europe,628615,1.761,2586,243.1,1.624,82.58,3.81,95100,The West,25.36
Macau,Asia,625295,0.831,28,22332,1.2,84.63,5.5,NA,The Rest,NA
Madagascar,Africa,26898646,2.358,581540,46.3,3.78,67.55,58.34,1520,The Rest,1.7988165680473374
Malawi,Africa,19822929,2.448,94080,210.7,3.62,71.88,58.41,1210,The Rest,3.408450704225352
Malaysia,Asia,33164013,1.077,328657,100.9,1.7813,75.62,8.34,30000,The Rest,21.27659574468085
Maldives,Asia,391104,-0.104,298,1312.4,1.71,76.43,35.08,14900,The Rest,17.780429594272075
Mali,Africa,19552681,2.927,1220190,16,5.72,61.6,101.16,2140,The Rest,3.4460547504025767
Malta,Europe,457270,0.826,316,1447.1,1.4916,82.81,5.95,40400,The West,24.78527607361963
Marshall Islands,Oceania,77741,1.412,181,429.5,2.86,74.11,27.75,3650,The Rest,6.369982547993019
Mauritania,Africa,3997059,2.051,1030700,3.9,3.65,64.5,81.6,4030,The Rest,5.179948586118252
Mauritius,Africa,1378798,0.539,2030,679.2,1.73,76.45,12.6,22700,The Rest,16.33093525179856
Mexico,Latin America,128840997,1.068,1943945,66.3,2.1895,76.68,13.96,18100,The Rest,8.341013824884792
"Micronesia, Federated States of",Oceania,102320,-0.62,702,145.8,2.29,73.9,28.08,NA,The Rest,NA
Moldova,Europe,3360212,-1.079,32891,102.2,1.5796,71.88,13.9,6980,The West,5.768595041322314
Monaco,Europe,31066,0.473,2,15533,1.5162,89.27,2.02,62000,The West,12.22879684418146
Mongolia,Asia,3168648,0.975,1553556,2,1.95,70.79,25.26,13200,The Rest,14.617940199335548
Montenegro,Europe,609786,-0.383,13452,45.3,1.8193,77.26,3.72,18200,The West,8.198198198198199
Montserrat,Latin America,5359,0.522,102,52.5,1.3031,75.28,12.55,NA,The Rest,NA
Morocco,Africa,35558805,0.949,446300,79.7,2.31,73.29,22.85,7980,The Rest,7.388888888888889
Mozambique,Africa,30097734,2.601,786380,38.3,4.9675,55.87,99.78,1210,The Rest,2.922705314009662
Namibia,Africa,2629632,1.834,823290,3.2,3.07,65.26,46.48,9660,The Rest,5.396648044692737
Nauru,Oceania,9728,0.432,21,463.2,2.68,67.3,10.77,13400,The Rest,16.401468788249694
Nepal,Asia,30175326,0.839,143351,210.5,1.96,71.83,32.62,3020,The Rest,3.9271781534460337
Netherlands,Europe,17274001,0.366,33893,509.7,1.7741,81.74,4.17,51200,The West,8.547579298831385
New Caledonia,Oceania,290033,1.235,18275,15.9,1.88,78.35,9.35,NA,The Rest,NA
New Zealand,Oceania,4925334,1.387,264537,18.6,1.8733,82.13,4.28,36700,The Rest,5.18361581920904
Nicaragua,Latin America,6186056,0.934,119990,51.6,1.82,74.24,24.07,4530,The Rest,1.986842105263158
Niger,Africa,22759615,3.647,1266700,18,7,59.3,109.26,974,The Rest,1.4802431610942248
Nigeria,Africa,213986428,2.527,910768,235,4.72,60.4,91.55,5300,The Rest,4.173228346456693
North Macedonia,Europe,2125463,0.134,25433,83.6,1.4995,76.33,8.74,14400,The West,9.931034482758621
Northern Mariana Islands,Oceania,51851,-0.378,472,109.9,2.694,76.07,15,NA,The Rest,NA
Norway,Europe,5465387,0.807,304282,18,1.841,82.14,2.92,67500,The West,10.993485342019545
Oman,Asia,3624823,1.933,309500,11.7,2.7622,76.37,20.06,36000,The Rest,25
Pakistan,Asia,233431156,2.036,770875,302.8,3.6035,69.06,72.33,5020,The Rest,4.327586206896552
Palau,Oceania,21532,0.367,459,46.9,1.7,74.11,14.23,17700,The Rest,16.09090909090909
Panama,Latin America,3883101,1.177,74340,52.2,2.23,79.24,15.27,24300,The Rest,11.25
Papua New Guinea,Oceania,7280577,1.637,452860,16.1,2.84,69.57,52.32,3950,The Rest,5.493741307371349
Paraguay,Latin America,7188930,1.163,397302,18.1,1.8943,77.88,31.25,12300,The Rest,5.394736842105263
Peru,Latin America,31914710,0.905,1279996,24.9,2.04,74.7,26.06,13300,The Rest,11.565217391304348
Philippines,Asia,109168180,1.508,298170,366.1,2.92,70.03,26.7,8640,The Rest,6.912
Poland,Europe,38270292,-0.21,304255,125.8,1.3802,78.29,5.01,30900,The West,9.363636363636363
Portugal,Europe,10288283,-0.25,91470,112.5,1.4061,81.08,3.15,29800,The West,13.244444444444444
Puerto Rico,Latin America,3190410,-1.545,8869,359.7,1.2248000000000001,81.25,6.8,NA,The Rest,NA
Qatar,Asia,2447179,1.44,11586,211.2,1.9043,79.34,9.76,116000,The Rest,52.72727272727273
Romania,Europe,21310245,-0.371,229891,92.7,1.3756,76.05,11.33,26400,The West,22
Russia,Europe,142588206,-0.176,16377742,8.7,1.6009,71.88,8.33,26200,The West,8.478964401294498
Rwanda,Africa,12709485,1.848,24668,515.2,3.52,65.11,37.12,2230,The Rest,4.560327198364008
Saint Barthelemy,Latin America,7131,-0.224,25,285.2,1.6366,80.14,8.63,NA,The Rest,NA
"Saint Helena, Ascension, and Tristan da Cunha",Africa,7903,0.164,394,20.1,1.5964,80.03,23.51,NA,The Rest,NA
Saint Kitts and Nevis,Latin America,53799,0.66,261,206.1,1.7685,76.57,15.83,NA,The Rest,NA
Saint Lucia,Latin America,166141,0.302,606,274.2,1.73,78.47,13.8,NA,The Rest,NA
Saint Martin,Latin America,32560,0.387,54,603,1.8056,80.14,8.63,NA,The Rest,NA
Saint Pierre and Miquelon,North America,5384,-1.17,242,22.2,1.5806,80.98,9.87,NA,The West,NA
Saint Vincent and the Grenadines,Latin America,101334,-0.193,389,260.5,1.76,76.17,19.25,NA,The Rest,NA
Samoa,Oceania,203662,0.596,2821,72.2,2.4995,74.68,23.69,6460,The Rest,3.510869565217391
San Marino,Europe,34247,0.654,61,561.4,1.5137,83.49,7.39,57900,The West,26.08108108108108
Sao Tome and Principe,Africa,210728,1.528,964,218.6,3.82,66.39,69.65,3090,The Rest,3.0294117647058822
Saudi Arabia,Asia,34223743,1.624,2149690,15.9,1.9857,76.15,14.75,48200,The Rest,17.463768115942027
Senegal,Africa,15722089,2.282,192530,81.7,4.04,63.47,86.77,3590,The Rest,4.891008174386921
Serbia,Europe,7007664,-0.48,77474,90.5,1.4625,76.31,6.65,17400,The West,6.105263157894737
Seychelles,Africa,95726,0.705,455,210.4,1.83,75.58,16.06,28500,The Rest,24.152542372881356
Sierra Leone,Africa,6643834,2.421,71620,92.8,4.62,59.79,102.21,1500,The Rest,1.3888888888888888
Singapore,Asia,5810285,0.967,709,8195,1.14,86.03,1.98,90500,The Rest,32.55395683453237
Sint Maarten,Latin America,43991,1.312,34,1293.9,2.0153,78.8,9.36,NA,The Rest,NA
Slovakia,Europe,5439808,-0.059,48105,113.1,1.4378,77.83,5.98,NA,The West,NA
Slovenia,Europe,2102452,-0.003,20151,104.3,1.5877,81.4,2.01,34600,The West,11.728813559322035
Solomon Islands,Oceania,678494,1.784,27986,24.2,2.97,76.19,26.85,2170,The Rest,4.5020746887966805
Somalia,Africa,11818529,2.272,627337,18.8,5.51,54.92,146.64,633,The Rest,0.8296199213630406
South Africa,Africa,56434963,0.968,1214470,46.5,2.22,64.75,34.11,12000,The Rest,5.405405405405405
South Sudan,Africa,10560984,2.763,644329,16.4,5.5383,55.54,111.12,1950,The Rest,2.606951871657754
Spain,Europe,47272945,-0.018,498980,94.7,1.5089,82,3.84,36200,The West,11.419558359621451
Sri Lanka,Asia,22895756,0.659,64630,354.3,2.0119,77.51,10.28,12400,The Rest,6.6310160427807485
Sudan,Africa,45544096,2.683,1861484,24.5,4.7246,66.45,64.98,4540,The Rest,5.934640522875817
Suriname,Latin America,609085,0.938,156000,3.9,1.86,73.29,34.85,14100,The Rest,5.01779359430605
Sweden,Europe,10185555,0.749,410335,24.8,1.8633,82.4,2.98,47400,The West,13.465909090909092
Switzerland,Europe,8398489,0.655,39997,210,1.5707,82.83,4.44,59100,The West,4.282608695652174
Syria,Asia,19392460,4.634,185887,104.3,2.9,73.74,19.16,2910,The Rest,3.399532710280374
Taiwan,Asia,23563036,0.039,32260,730.4,1.0603,80.73,4.89,44900,The Rest,45.035105315947845
Tajikistan,Asia,8860396,1.484,141510,62.6,2.51,68.76,47.24,3230,The Rest,2.90990990990991
Tanzania,Africa,60362612,2.841,885800,68.1,4.51,69.6,45.14,3060,The Rest,4.377682403433476
Thailand,Asia,69291926,0.287,510890,135.6,1.5353,77.16,9.01,17900,The Rest,15.84070796460177
Timor-Leste,Asia,1382948,2.241,14874,93,4.44,69.33,44.73,7010,The Rest,11.039370078740157
Togo,Africa,8076517,2.544,54385,148.5,4.33,70.61,64.43,1650,The Rest,1.6336633663366336
Tonga,Oceania,106010,-0.202,717,147.9,2.87,77.04,15.18,6130,The Rest,7.029816513761468
Trinidad and Tobago,Latin America,1224177,-0.237,5128,238.7,1.7,74.67,28.11,28800,The Rest,15.157894736842104
Tunisia,Africa,11719458,0.81,155360,75.4,2.06,76.31,14.22,11300,The Rest,8.496240601503759
Turkey,Asia,82009212,0.453,769632,106.6,1.96,75.7,23.41,25500,The Rest,14.912280701754385
Turkmenistan,Asia,5522684,1.044,469930,11.8,2.04,71.25,48.06,18500,The Rest,9.068627450980392
Turks and Caicos Islands,Latin America,56095,1.97,948,59.2,1.7,80.38,14.74,NA,The Rest,NA
Tuvalu,Oceania,11350,0.863,26,436.5,2.88,67.76,49.61,3870,The Rest,4.095238095238095
Uganda,Africa,43249944,3.344,197100,219.4,5.54,68.2,45.16,1920,The Rest,2.807017543859649
Ukraine,Europe,43903662,-0.228,579330,75.8,1.5515,72.9,9.07,8770,The West,5.315151515151515
United Arab Emirates,Asia,9792173,0.694,83600,117.1,1.6645,79.17,5.77,65300,The Rest,32.65
United Kingdom,Europe,65731269,0.49,241930,271.7,1.8641,81.09,5.13,40700,The West,5.4630872483221475
United States,North America,332639102,0.71091,9150541,36.4,1.8436,80.27,6.4,57500,The West,9.2
Uruguay,Latin America,3389361,0.261,175015,19.4,1.77,77.94,11.02,21300,The Rest,6.396396396396397
Uzbekistan,Asia,30575754,0.88,425400,71.9,1.736,74.76,24.21,6790,The Rest,8.321078431372548
Vanuatu,Oceania,297953,1.7,12189,24.4,2.79,74.61,17.61,2910,The Rest,3.779220779220779
Venezuela,Latin America,28612153,0.691,882050,32.4,2.26,71,34.67,9050,The Rest,4.350961538461538
Vietnam,Asia,101745119,1.04,310070,328.1,2.0774,74.98,19.92,7350,The Rest,7.648283038501561
"Virgin Islands, British",Latin America,37146,2.011,151,246,1.3274,79.21,16.18,NA,The Rest,NA
"Virgin Islands, U.S.",Latin America,106290,-0.377,348,305.4,2.03,79.82,8.86,NA,The Rest,NA
Wallis and Futuna,Oceania,15809,0.278,142,111.3,1.7133,80.23,4.6,NA,The Rest,NA
West Bank,Asia,2898556,1.746,5640,513.9,3.07,75.87,19.06,NA,The Rest,NA
Western Sahara,Africa,652464,2.504,266000,2.5,3.65,64.7,80.6,NA,The Rest,NA
Yemen,Asia,29810956,1.977,527968,56.5,3.2,66.85,64.8,2330,The Rest,2.0086206896551726
Zambia,Africa,18523385,2.966,743398,24.9,4.6971,65.58,55.51,3650,The Rest,4.319526627218935
Zimbabwe,Africa,14546146,1.926,386847,37.6,3.93,62.33,47.43,2410,The Rest,2.4591836734693877
