id	location	breed	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20
8233	americas	Village Dog Belize	0.0319726	0.0101792	-0.0099485	-0.0155327	0.023575	-0.0298679	-0.0116393	-0.00357902	-0.00582813	0.023753	0.0106694	-0.00350843	0.0101296	0.017844	-0.013472	0.00722848	0.00640152	0.00410713	-0.033224	0.0328281
BH4	europe	Village Dog Bosnia	0.0276598	0.0058265	-0.0106264	-0.00259375	0.0239209	-0.00119048	0.0266034	0.00826736	5.40773e-4	0.0612195	0.0230746	0.0110686	-0.00326926	0.0290539	-0.00205331	0.0190982	-0.00224488	-0.0511399	-0.0942073	-8.46185e-4
BH7	europe	Village Dog Bosnia	0.0231296	0.00420863	-0.0186822	-0.0183606	0.0286505	-0.0359532	0.0144747	-0.00363302	-0.00936485	0.0154755	0.00458634	0.0193996	0.014927	0.0134029	0.0380188	0.0154165	-0.00155611	-0.00506998	-0.00472561	-0.0130737
BH5	europe	Village Dog Bosnia	0.0367102	0.00877842	-0.00986556	-0.0127094	0.0195283	0.0649788	-0.0088042	0.0320667	0.00707914	0.0178505	0.00329686	-0.00146311	0.0211994	0.00769072	0.00669818	-0.0109891	-0.00981668	-0.0480139	0.0172586	-0.0193245
PFZ1B09	americas	Village Dog Brazil	0.035086	0.0104863	4.53826e-4	-0.00254055	0.0136039	-0.0486608	3.32513e-4	-0.0271026	-0.00400901	0.0425286	-0.00877491	-0.00162809	-0.00640457	0.0161718	0.00539124	0.00902885	0.0202164	-0.0198757	-0.0485859	0.00619073
PFZ2G06	americas	Village Dog Brazil	0.0412617	0.0121686	-0.00585136	0.0143819	-0.00264819	0.00724284	-0.00656747	-0.0252706	0.00277673	0.0264297	0.0163751	0.0163174	0.00239112	0.00851395	0.00403689	0.00790981	-0.0203036	-0.0359072	8.15927e-4	0.0148817
PFZ3A01	americas	Village Dog Brazil	0.03907	0.0122474	-0.00935286	0.0125222	-0.0111626	-6.9907e-4	0.0100698	-0.0132638	-0.00819249	0.00652954	-0.0237846	0.0079423	-9.30915e-4	0.00695684	-0.0128226	0.00506628	-0.0346106	-0.0210786	0.0122932	-0.0134122
PFZ3B01	americas	Village Dog Brazil	0.035012	0.00962687	-0.00921874	-1.9646e-4	0.00823134	-0.0223612	-0.00780495	-0.0191401	-0.00757486	0.0415049	-0.00535574	-0.00894993	-0.00595896	0.0205657	-4.94925e-4	0.00534406	3.5956e-4	-0.00558266	-0.0385737	0.0307217
PFZ3G02	americas	Village Dog Brazil	0.031472	0.0102348	-0.00714248	-3.38266e-4	0.00871953	-0.0492474	-0.0104134	-0.00365845	0.00603324	0.033339	-0.00690401	-3.5941e-4	-0.0047717	0.0360275	0.00876763	0.0192829	-0.0097218	-0.0162964	-0.0646434	-0.0035351
PFZ3H02	americas	Village Dog Brazil	0.0290144	0.0107515	-0.0106697	-0.0168141	0.0321178	-0.075548	-0.0164585	-0.0323694	0.0078739	0.0681389	0.0100965	-0.00118734	0.0132707	0.0702757	-0.0259629	0.0177959	0.0168029	-0.0230441	-0.145029	0.0191528
PFZ3B03	americas	Village Dog Brazil	0.0452825	0.0111922	-0.00517938	-0.0258115	0.0191413	0.149628	-0.0342588	0.0627172	0.0305193	0.0299071	-0.00114951	-0.0422206	0.0497684	-0.0518922	-0.0176018	0.00286003	-0.0535433	-0.0144348	0.0113796	0.00674206
PFZ3C03	americas	Village Dog Brazil	0.0306077	0.00560895	-0.0119096	0.00137373	0.00646558	-0.0249073	0.0148543	-0.0249323	-0.0126602	0.00130227	0.00130804	0.0169634	-0.011623	0.0235021	0.0259863	0.017092	0.0259111	-0.0225497	-0.00367043	-0.00212352
PFZ3E03	americas	Village Dog Brazil	0.038093	0.0113809	-0.010619	-0.00640737	0.00391275	0.0439963	0.00501228	0.0114462	0.00989461	0.0262199	0.00687856	-4.00413e-4	0.00971739	-0.0215803	-0.00469693	0.0147003	-0.0183195	-0.0372375	0.0136476	0.00248664
PFZ3G03	americas	Village Dog Brazil	0.0370251	0.00931553	-0.003662	-0.0118493	0.0027145	0.00799222	-0.00423166	-0.0153839	0.0109672	0.0269852	2.72113e-4	-0.00116958	-0.00299405	0.018091	-0.00913461	0.00432756	0.00271977	-0.00770265	-0.0193126	0.0281809
PFZ3H03	americas	Village Dog Brazil	0.0419326	0.0106681	-0.00223991	0.0327649	-0.0256932	-0.0114059	0.00330115	-0.096552	-0.00252184	-0.00383725	2.82841e-4	0.0387349	-0.0124644	0.0178683	0.00374603	-0.0229207	-0.0602811	-0.0685941	0.0614083	0.03364
PFZ3E04	americas	Village Dog Brazil	0.0318017	0.00949925	-0.0107778	-0.00330114	0.0196525	-0.0308835	-0.010068	-0.00961839	-0.00941259	0.0303268	0.00117026	0.00260298	-0.00661877	0.0305582	0.00730828	0.00628195	0.0471008	-0.0230582	-0.00526807	0.0223684
PFZ14B04	americas	Village Dog Brazil	0.0389352	0.0120757	-0.00583812	0.00343441	0.00416526	0.0285953	-0.0154366	-3.36694e-4	0.0236064	0.0127369	0.00352834	0.00377447	0.0297245	0.0115421	-0.00679967	0.00721481	0.0536332	0.0229671	0.0111317	-7.83256e-4
PFZ42E11	africa	Village Dog Burkina Faso	-0.0432802	-0.113843	0.0806469	-0.0179058	0.017218	-0.00621576	0.0259477	0.0059372	0.118738	-0.0246979	-0.0766438	0.050064	-0.00385426	0.00296567	0.0231125	0.0013666	-0.0293966	0.007481	0.0123542	0.0304926
PFZ42F11	africa	Village Dog Burkina Faso	-0.0141453	-0.0639246	0.0458392	-0.00525081	0.00112877	-0.00713922	0.0189505	0.0047398	0.0778705	-0.00679154	-0.0272373	0.0110051	0.0052854	-0.00368313	0.00815154	-9.67118e-4	3.64333e-4	-0.0083011	-0.00186793	0.00402179
PFZ3G01	americas	Village Dog Colombia	0.0371078	0.0140365	1.33604e-4	0.021839	-0.0247276	-0.023511	0.00427722	-0.0478141	-0.00759031	-0.00930263	-0.0133058	0.0146267	-0.0029687	0.0191301	0.0273079	-0.0209788	0.0508842	-0.0272107	0.0375328	-0.011476
PFZ3A02	americas	Village Dog Colombia	0.0379903	0.00821599	-0.00561346	0.00436152	0.0146227	-0.0313294	-0.0208023	-0.0390506	0.00645419	0.00285165	0.012961	0.00739201	-0.0300708	0.00166728	0.0188253	-0.0241275	0.0138706	-0.0733861	0.0340713	0.0187437
PFZ3B02	americas	Village Dog Colombia	0.0309244	0.0143202	-0.0106811	-0.015017	0.0444088	-0.0287723	-0.0183562	-0.00351719	-9.39777e-5	0.024989	-0.0129128	-0.00274888	-0.00854339	0.0118467	-0.0168064	0.0145113	-0.00882124	-0.0212687	0.00541578	7.61465e-4
PFZ3F02	americas	Village Dog Colombia	0.0270989	0.0194262	0.00387574	-0.00275911	-0.00479666	-9.42163e-4	0.00334008	0.00452011	0.0205133	0.0188238	0.0155754	0.0212992	0.0291343	0.00961831	-0.00223019	-0.00774578	0.0401742	-0.0530538	0.0102163	-0.0260965
PFZ3A03	americas	Village Dog Colombia	0.0273976	0.017141	-0.00782409	-0.0165776	0.0545047	-0.0924133	-0.0361298	-0.0461943	0.0103622	0.24473	-0.118551	-0.121163	-0.168185	-0.399124	0.097014	-0.110916	0.0364654	0.0248864	0.0854554	-0.0167682
PFZ3B04	americas	Village Dog Colombia	0.0282936	0.0135413	-0.00686205	-0.0193409	0.0623579	-0.090666	-0.0394691	-0.0492728	0.0120905	0.23507	-0.114435	-0.117243	-0.1645	-0.384177	0.0920052	-0.114097	0.0282293	0.0324853	0.0841829	-0.0251431
PFZ3B05	americas	Village Dog Colombia	0.0359057	0.00916741	-0.0084341	-0.0132452	0.0329099	-0.0212292	-0.0176584	-0.00105986	0.0156973	0.0217978	0.0080802100000000009	-0.0152155	0.00427059	-0.00238262	-0.00204474	-1.08523e-5	0.0132027	-0.00793982	0.00799242	-1.81734e-4
CO1	americas	Village Dog Colombia	0.0273919	0.0141522	-0.0116711	-0.0183308	0.0619654	-0.0872897	-0.0374967	-0.0462265	0.0150642	0.236356	-0.116373	-0.109595	-0.163709	-0.389564	0.10236	-0.110282	0.0350925	0.0300988	0.0886354	-0.0199897
CO32	americas	Village Dog Colombia	0.0325338	0.0129538	-0.0105142	-0.0184829	0.0302424	-1.92644e-4	-0.0230701	0.00742559	0.0050207	0.0142594	-0.00375271	-0.00730603	0.00164548	0.0108486	0.0060348	9.52132e-4	0.0142324	-0.0153081	-0.0122227	0.00947597
PFZ42G11	americas	Village Dog Costa Rica	0.0317175	0.0122851	-0.010455	-0.00307124	0.0149291	-0.0607769	-0.00806353	-0.0100198	0.0063415	0.0529262	0.00215901	6.01585e-4	0.00579844	0.0225347	-0.00325939	0.0206242	-3.19693e-5	-0.00493855	-0.0677614	-0.00410794
PFZ42H11	americas	Village Dog Costa Rica	0.0326797	0.0129017	0.00155419	0.0235201	-0.00930429	0.0300465	-0.0078918	-0.0255712	-0.0131547	-0.00202538	-0.00486168	0.0135592	-0.0223208	0.00302537	-0.0264109	-0.00933604	-0.00956159	-0.0583937	0.0547959	0.0253535
PFZ42A12	americas	Village Dog Costa Rica	0.0316299	0.0137712	-0.00187319	-7.12849e-4	0.0117197	-0.00264653	-0.0253515	0.00581202	-4.57501e-4	0.00988156	0.0112556	-0.001269	-0.0178282	0.0254425	9.66146e-4	-0.0136329	-0.00616335	-0.0445191	-0.0199323	0.0107739
PFZ42B12	americas	Village Dog Costa Rica	0.0273981	0.017697	-0.0089756	-0.00585344	0.0257711	-0.0468065	-0.0314497	-0.0295797	-0.00680593	0.0755444	0.0109743	0.00748185	-0.00687742	0.00150725	-0.0602381	0.0104162	-0.0111097	-0.0411334	-0.0786853	0.105033
PFZ42C12	americas	Village Dog Costa Rica	0.0263513	0.014686	-0.00916964	-0.0209601	0.0355282	-0.0468469	-0.0188535	-0.0183959	-0.00304256	0.0563388	0.00214175	-0.00469651	-0.018751	0.0382577	-0.0187296	0.0180256	4.66181e-4	-0.0294328	-0.0736582	0.00993124
PFZ42D12	americas	Village Dog Costa Rica	0.0338555	0.0144425	-0.00411893	-0.0022999	0.00883096	-6.88653e-4	-0.0230163	-0.00232619	0.0117817	0.0408067	-0.0145122	-0.00866055	0.00150399	0.00808516	-0.00534912	0.00731489	-7.4941e-4	-0.0166411	-0.0212974	0.00580445
PFZ42E12	americas	Village Dog Costa Rica	0.0366719	0.0150729	0.00243795	0.0479998	-0.0352854	-0.0357508	0.0163749	-0.0737837	-0.0184308	-0.0118247	-0.028332800000000002	-0.00272359	-0.0107372	0.027293	0.00348843	0.00791734	5.02869e-4	-0.0132657	-0.00421653	0.0047384
PFZ42F12	americas	Village Dog Costa Rica	0.0349327	0.0181042	0.00557821	0.0426065	-0.0251403	-0.013128	-0.00834031	-0.0884014	-0.011234	-0.0212735	-0.0149	0.0324985	-0.0202163	0.0188766	0.00508374	-0.0137775	-0.00280332	-0.0816183	0.068076	0.0359183
HR58	europe	Village Dog Croatia	0.040179	0.00941152	-0.00309102	-0.0323038	0.0119686	0.166896	-0.025979	0.0620778	0.00926959	0.0335138	0.00842309	-0.0181681	0.0203196	-0.0125644	-0.0131415	-0.0229547	-0.0505528	-0.0281424	-0.00536262	7.53569e-4
HR52	europe	Village Dog Croatia	0.0311346	0.011543	-0.00916459	0.00498972	0.00106431	-0.00114618	0.00617418	-0.026705	-0.0157583	0.0204104	0.0105935	0.0103419	-0.00334724	7.91732e-4	-0.00640825	0.00515005	0.00621578	-0.0304343	-0.0412737	0.00222822
HR63	europe	Village Dog Croatia	0.0346121	0.0083967	-0.0117464	-0.00802699	0.0183699	0.00412245	-0.00388352	0.0103352	0.0148357	0.0416437	0.00368081	0.0210846	-0.0112614	0.0155999	0.0124113	0.00455768	0.018147	-0.0149338	-0.0339783	-0.00989758
HR72	europe	Village Dog Croatia	0.0310256	0.0102861	-0.00220674	-0.0105494	-0.00805948	0.0234306	-0.00155769	-0.00508818	0.00808526	0.0129041	-0.00491044	-0.0078971	0.018068	0.00750652	0.0196059	0.00896174	0.0504692	0.00978067	-0.0312065	-0.045143
HR89	europe	Village Dog Croatia	0.0273304	0.00649182	-0.0149793	-0.00692032	0.0141347	-0.0226801	0.0233142	-0.00616354	-0.00734885	0.0242798	0.0122384	-0.00273495	0.0040703	0.012938	0.00624807	-0.00759437	0.00526765	-0.00539699	-0.006338	-0.00301281
HR97	europe	Village Dog Croatia	0.019619	6.52419e-4	-0.0191609	-0.020375	0.0250433	0.0208799	0.0202616	0.00784044	-0.0118699	0.00277495	0.0272705	-0.00217884	0.0280631	0.0100011	0.013458	0.00332655	0.00484606	0.0163699	-8.3046e-4	0.0127846
PFZ2B04	americas	Village Dog Dominican Republic	0.0189849	0.0169003	-0.00557739	-0.0157503	0.0177355	-0.0325115	-0.00501826	-0.00558606	0.00281459	0.0242366	-0.0113662	-0.0143443	-0.00264409	0.01025	-0.0156709	-0.00157356	0.0176749	-0.0236313	-0.0253975	0.00700321
PFZ2E04	americas	Village Dog Dominican Republic	0.0299476	0.0151736	-0.00215186	-0.0143236	0.013875	0.0321064	-0.013198	0.0239047	0.0143791	0.022583	0.00881279	-0.0127112	0.0276059	-0.0227839	0.00301485	0.0183582	0.0200545	-0.0121294	0.00788948	-0.0206972
PFZ2G05	americas	Village Dog Dominican Republic	0.0370919	0.0136617	-0.00189001	0.00297989	5.53822e-4	0.00601924	-0.0035203	-0.0115976	-0.0125852	-2.31131e-4	-0.0194936	-0.00854583	-0.00938349	0.0193507	0.00920428	0.0163469	0.0210796	-0.0426529	0.0291809	0.00366341
PFZ2C06	americas	Village Dog Dominican Republic	0.0374339	0.0107044	-6.79788e-4	0.0112218	-0.00824511	0.0292987	-0.00514959	-0.0192369	0.00167067	-0.0125935	-0.0425188	-0.0134982	0.0300902	0.0302734	0.0298095	0.0121407	0.105934	0.0338835	0.00616291	-0.0396623
PFZ2D06	americas	Village Dog Dominican Republic	0.0385237	0.0106857	-0.00311624	0.00421402	0.00801383	0.0218717	-0.00470373	0.00947547	0.0104246	0.00361872	-0.0073395	5.92609e-4	0.00878428	0.00510195	0.0118044	0.00115721	0.0208487	-0.0532347	-0.0023917	0.00776736
PFZ2C07	americas	Village Dog Dominican Republic	0.0343006	0.00984029	-0.00651412	-0.00718282	0.0213363	0.00414879	-0.00923018	0.0193649	0.0155052	0.0143773	-0.00152105	0.0188584	4.72119e-4	0.0124279	-0.00148957	-0.00555994	0.0100792	-0.0127453	0.00240604	-0.00179021
PFZ2A09	americas	Village Dog Dominican Republic	0.0322335	0.010535599999999999	-0.0103317	-0.009828	0.00860161	0.018444	-0.00522567	-0.00579872	0.0087225	0.0109037	0.0037637	0.00260124	0.00934596	0.0119492	0.00584156	-0.00936468	0.0157591	-3.95183e-4	-0.00999211	0.00601502
PFZ2C09	americas	Village Dog Dominican Republic	0.0299819	0.0134669	-0.00969222	-0.00729489	0.0202382	-0.010348	-0.0056916	0.00402285	0.0040267	0.0050064	-0.00726463	-0.0132447	0.0177922	0.0134968	-0.00288604	-0.00715662	0.0154364	-0.0103235	-0.0121717	-0.0256802
PFZ2C10	americas	Village Dog Dominican Republic	0.0340691	0.0129956	-0.00708197	8.6172e-4	0.0040605	0.00543231	-0.0105109	-0.00693668	0.0129188	0.0212913	-0.0121223	-0.0311853	0.0107781	0.0201838	0.0116674	-0.00503584	0.0201026	0.00733162	-0.0102545	3.70108e-4
PFZ2F11	americas	Village Dog Dominican Republic	0.0131082	0.023942	-0.00423026	-0.0158648	0.0257381	-0.032417	-0.00312066	-0.0111653	-0.00531458	0.0174183	-0.0111149	0.00744778	-0.0061994	0.0137478	0.00629772	-0.0161916	0.0265483	-0.0258461	-0.0206387	-0.00761009
PFZ3E02	americas	Village Dog Dominican Republic	0.0385497	0.0115676	9.94061e-5	0.00943794	-0.00353572	0.014762	-0.00103786	-0.0169068	-0.00687227	-0.00644141	-0.0283231	-0.00475766	-0.00222583	0.0135153	0.00577394	0.00747873	0.00976195	0.00792959	-0.00265474	-0.0192438
PFZ3D03	americas	Village Dog Dominican Republic	0.0374001	0.0101465	-0.00760944	-0.00895496	0.0122127	0.0035285	-0.0138331	0.0118138	0.0124455	0.0059752	-0.00113393	-0.00227399	0.00148728	0.00659458	0.0226593	-0.00397671	0.0292524	0.0201353	-0.0145849	-0.00546833
DRC84	africa	Village Dog DRC-Boende	-0.0141054	-0.0816779	0.0855823	-0.00248576	-0.00511557	0.00395073	-0.0504056	0.029479000000000002	-0.0850761	0.0281841	0.0466309	-0.0122592	0.0365499	-0.0295447	0.00241451	-0.00309282	0.00442223	0.0200406	-0.061929	-0.112438
DRC85	africa	Village Dog DRC-Boende	-0.0249528	-0.0947843	0.0895498	0.00261103	-0.0117436	-0.0212438	-0.0361162	0.00438659	-0.0680609	0.0159571	0.0343396	-0.0154776	0.0357375	-0.0055812	-0.00150854	-0.00960621	-0.0178186	0.0231294	-0.00601294	-0.0507917
DRC87	africa	Village Dog DRC-Boende	-0.0194109	-0.0840078	0.0772143	-6.32787e-4	-0.00856382	-0.0105221	-0.0396163	0.0247018	-0.0689938	0.0180953	0.0469243	-0.0202605	0.0365384	-0.0257236	0.00391239	0.0131502	-0.0101077	0.0318778	-0.0279267	-0.0808774
DRC88	africa	Village Dog DRC-Boende	-0.0246526	-0.0988179	0.0962544	-0.00231641	-0.00561321	-0.0272567	-0.0463823	0.00544246	-0.0722189	0.0185258	0.044779	-0.00941854	0.0177529	-0.00225885	0.0264876	0.0189766	-0.00508471	-0.00287338	-0.0352501	-0.0728367
DRC93	africa	Village Dog DRC-Boende	-0.0228169	-0.0948362	0.0910526	-0.00498115	-0.00962425	-0.0264983	-0.0388232	-0.00601153	-0.073241	0.023493	0.0322343	-0.0361664	0.0258863	-0.0054556	0.00161493	0.0113888	0.00431141	0.00750393	-0.0439827	-0.0793317
DRC97	africa	Village Dog DRC-Boende	-0.020456	-0.0866338	0.0824155	-0.00166919	-0.015881	-0.00469421	-0.0364106	0.020543	-0.0814362	0.0153604	0.0330082	-0.015612	0.0182249	-0.00738671	7.02243e-4	0.00955587	0.00405409	0.0199867	-0.0321468	-0.0484909
DRC108	africa	Village Dog DRC-Boende	-0.0336489	-0.113544	0.115342	-0.00244386	-0.0198423	-0.0116353	-0.0396932	0.00523795	-0.0904712	0.0215097	0.0381576	-0.0300379	0.0270471	-0.00276495	-0.00218757	0.0104081	-0.00249744	0.0237086	-0.023159	-0.0780761
DRC111	africa	Village Dog DRC-Boende	-0.0319478	-0.111468	0.112313	-0.0143725	-0.0110565	-0.0226556	-0.0545154	0.00321768	-0.122211	0.028912	0.0693453	-0.0399158	0.0541491	0.00649441	0.0126852	0.0219611	-0.00862409	0.0442978	-0.0785389	-0.150478
DRC115	africa	Village Dog DRC-Boende	-0.0323025	-0.109165	0.10352600000000001	0.00256381	-0.00970573	-0.0115405	-0.0427355	0.0024706	-0.0766571	0.0118384	0.0452671	-0.0198676	0.0118407	-0.0184922	0.0173795	0.0240425	-0.0134343	0.00783654	-0.0265483	-0.0620933
DRC118	africa	Village Dog DRC-Boende	-0.0262355	-0.100652	0.09677	-0.0104645	-0.0067818	-0.00341755	-0.0469566	-0.00127913	-0.0764126	0.0192729	0.0461664	-0.0440744	0.0373801	-0.00943922	0.00639982	0.0049941	-0.00252905	0.0260326	-0.0457099	-0.0729768
DRC128	africa	Village Dog DRC-Boende	-0.0253221	-0.0943898	0.0883691	-0.00186504	-0.0102799	-0.0280764	-0.025354	0.0134988	-0.0774701	0.0187597	0.0328	-0.0130495	0.0315147	4.18832e-4	0.00594076	0.00894676	0.00102435	0.00804787	-0.0264709	-0.0490444
DRC130	africa	Village Dog DRC-Boende	-0.0137168	-0.0797041	0.0813589	0.00477338	-0.0149154	-0.0158287	-0.029223	0.00587412	-0.0608585	0.0140238	0.0392319	-0.0150615	0.0295096	-0.00610738	0.00562889	0.00655841	0.00486428	0.0161113	-0.0383894	-0.0354199
DRC133	africa	Village Dog DRC-Boende	-0.0301715	-0.1004	0.0999073	-6.54304e-4	-0.0136087	-0.0291172	-0.0318973	-1.23956e-4	-0.0794117	0.0215985	0.0381244	-0.0168766	0.0197434	-0.00466124	0.00875791	0.00966378	-0.00369656	0.0113932	-0.0397096	-0.0636353
DRC107	africa	Village Dog DRC-Boende	-0.0364491	-0.120656	0.119175	-3.59794e-4	-0.016968	-0.0279672	-0.0489878	-0.00531857	-0.0920295	0.0249937	0.0459001	-0.0322966	0.0343307	-0.00746835	-0.00244714	0.00230089	-0.00965435	0.0259692	-0.0331794	-0.0596244
DRC109	africa	Village Dog DRC-Boende	-0.0319872	-0.11203	0.111072	-0.00507535	-0.0135062	-0.0172046	-0.0543506	-0.00167164	-0.124825	0.029383	0.0712757	-0.0358115	0.0543693	0.00440805	0.00254317	0.0189817	-0.0122371	0.0363102	-0.0636229	-0.152074
DRC31	africa	Village Dog DRC-Katanga	0.0233153	-0.0159144	0.0176496	0.00247425	0.00202731	0.0510392	-0.0193501	0.0122059	-0.0192738	0.0229808	0.0389668	0.00139928	-0.00983111	0.0237377	-0.0148283	-0.00364889	0.0131135	-0.0318647	0.0118538	0.0164423
DRC32	africa	Village Dog DRC-Katanga	0.0217451	-0.0148796	0.0159654	-0.0122564	0.00312134	0.0651587	-0.0212679	0.0424515	-0.0194308	0.0240605	0.026287	-0.00148148	-0.0314939	0.00325351	1.91049e-5	-0.0107506	0.00105366	-0.0186457	-0.00175356	-0.0187873
DRC34	africa	Village Dog DRC-Katanga	0.0272727	-0.0103539	0.0172185	-0.00425921	0.0033677	0.0618933	-0.0223346	0.0337451	-0.0102229	0.00660634	0.0357357	0.0187758	-0.0424784	0.00840943	3.00143e-4	-0.0129792	-0.0247705	-0.0313133	0.00594446	-0.0303609
DRC38	africa	Village Dog DRC-Katanga	0.0243161	-0.0149825	0.0162779	-0.00388288	-0.00468136	0.0605309	-0.0127455	0.0149057	-0.0243198	0.00646186	0.0181609	0.0129118	-0.0621379	0.0175615	0.00738751	-0.00208583	0.00432112	-0.0283062	0.00105592	-0.0132601
DRC42	africa	Village Dog DRC-Katanga	0.0211338	-0.0161233	0.0240574	0.00978821	-0.0126134	0.031898	-0.00888037	-0.00647328	-0.0270374	0.00674321	0.0317099	0.0223745	-0.0324399	-0.00139843	0.00702446	-0.0206973	-0.00645296	0.00130487	0.0160651	0.00899192
DRC43	africa	Village Dog DRC-Katanga	0.0247545	-0.00886876	0.0150969	0.00280295	-0.00133253	0.0498133	-0.0101028	0.010516	-0.0105096	0.0160564	0.0288779	0.00124601	-0.0189203	0.0135112	-0.00123058	-0.00778551	0.0130641	-0.0249953	-0.0064012	-0.0153575
