# Morphometrics of BIO2150 students 2012-2016 grouped by sex (male/female = M/F) and year
#
#   body.length    : Total body length (cm)
#   foot.navel     : Distance from floor to head crown (cm)
#   navel.crown    : Distance from navel to head crown (cm)
#   outspread.arms : Distance from finger tip to finger tip with outspread arms (cm)
#   underarm       : Distance from elbow to wrist (cm)									
#   underarm.hand  : Distance from elbow to middle finger tip (cm)
#   foot.length    : Distance from heel to big toe tip (cm)									
#   neck.size      : Circumference of neck (cm)
#
# Data compiled by Halvor Aarnes, with some obvious miscodings replaced by NAs by Tom Andersen
#								
sex	body.length	foot.navel	navel.crown	outspread.arms	underarm	underarm.hand	foot.length	neck.size 	year
F	172	106	66.2	168.5	25.5	45.5	25	32	2015
F	176.5	105	71.5	172	27	43.5	22	32	2015
F	170	102.5	67.5	167.5	27.5	44	24	29	2015
M	185	117	68	194.5	30.5	50.5	26.8	36.8	2015
M	176.5	104	70	175	27	45	24	39.5	2015
M	174	102.5	71.5	179	29	45.5	25.5	42	2015
M	184	113.5	70.5	189	29.8	48.9	27.5	39	2015
F	165.5	106	60.3	165	27.1	42.4	23.5	34	2015
F	168	105	63	166.5	27.5	43.5	24	28.4	2015
F	178.3	109.2	70	184.6	30.5	46.5	26	35	2015
F	169.5	103	66.5	168	27	43.5	24	28	2015
F	165.5	101	65.5	165	26	43.5	23.5	32	2015
F	167	102.5	64	172	28	44.8	23	32	2015
F	154	88	66	150	22	38.5	21.5	34	2015
F	163	97.5	65.5	169	24	44	24	35	2015
F	173	105	68	173	25.5	44.5	26	35	2015
M	176	104	71	176.5	25.8	43	26.3	35	2015
M	173.5	106	68	176.5	27	44	25.9	40	2015
F	180	110.5	69.5	175	25	42	20.5	29	2015
M	175	106	69	180	29.5	47	22	35.5	2015
F	158.5	98	63	162.5	22	38	22	30.8	2015
F	175	107	69	169	26.5	46	27	31	2015
F	172	106.5	66	170	24.5	44.3	24.5	34	2015
F	167	102	65	161.5	26	42	23.3	33.8	2015
M	182.5	110	72	182	27	47	26	36.5	2015
F	177	108	69	187.5	23	44.5	24.5	30	2015
F	163	100	63	169	25	44.5	25	35	2015
F	173	106	67	174	27	45.5	24.5	33	2015
F	163.4	96.9	66.5	157.9	27	42	23.4	32.3	2015
F	166	98	68	163	24	42	24.5	34	2014
M	196	125	71	199	30	49	28	43	2014
M	183	112	71	186	30	46	27	34	2014
M	178	108	70	177	28	46	24	40	2014
F	175	107	68	176	25	45.5	23.5	32	2014
F	172	102	71	169	36	44	26	31	2014
F	165	99	66	172	27	45	25	33	2014
M	178	107	68.9	172	28	47	28	36	2014
F	165	99	66	172	27	45	25	33	2014
F	167	103	64	163.5	26	42	24	33.5	2014
F	169	102	67	165	24.6	43.6	27.5	27	2014
F	156	94	62	151	22	41	23	28	2014
F	163.2	100	63.2	165	24	43.5	22	33	2014
F	162	95	67	158	25	40	22	31	2014
M	183	105	78	171	25	44	24	30	2014
F	165.5	101	65	170	26.5	44.5	22	30	2014
M	169	102	67	183	27	46	21	37	2014
M	168	103	64	170	27	45	23	35	2014
M	182	110	72	185	30	48.5	24	35	2014
M	172	105	67	174	27	46	24	37	2014
M	180	112	71	184	29	37	24.5	37	2014
M	172	105	67	174	27	46	24	37	2014
F	174	101	73	170	27	43	23	36	2014
F	166	112	65	163	26	41	18.5	32	2014
F	165.5	101	64.5	167	26	43	24	29	2014
F	170	103	67	167	26.5	44	26	30	2014
F	159	92	66	156	23.5	39	23.5	33	2014
F	170	103	67	167	26.5	44	26	30	2014
M	188	114	74	187	33	50	28	38	2014
F	173	110	63	174	25.5	43.5	24	29.5	2014
F	168	102	66	170	28	45	23	29	2014
F	165	101	64	165	25	42	24.5	29	2014
F	170.5	104	67	167	26.5	44	25	38	2014
F	165.5	100	65.5	168.5	27.5	43.5	23	37	2014
F	162.5	97	64	165	25	43.5	23.5	35	2014
M	180.5	110	68.5	184	30	NA	28	39	2014
M	171	104	65	182	28	47	25	40	2014
M	184	112	72	189	30	49.5	29	40	2014
M	186.5	113	73.5	182	30	47	26	38	2014
M	180.5	109	71.5	177.5	29	47	26	34	2014
F	176	109	67	174	28	45.5	25	33	2014
F	173	105	68	173	26	45	24	35	2014
F	171	104	67	173	26	45	24	33	2014
M	172.5	103.5	69	176.5	27.5	46	25	40	2014
M	175	104	71	177	30	49	26	40.5	2014
F	161	95	66	150	25	40	23	32	2014
F	168	101	68	163	25	42.5	20	33	2014
M	169	100	69	175	29	43	24.5	40	2014
M	182	110	75	188	30	48	21	38.5	2014
M	184	113.5	70.5	188	28.5	49	28	39.5	2014
F	172	102	70	173	27.5	46	25	30	2014
F	175	107.5	67.5	169	27	46	23	31	2014
F	166	104	62	164	25	43	25	33	2014
F	165	102	63	167	26	44	26	34	2014
M	194	122	72	199	30	52	30	36	2014
M	180	107	73	181	26	47	28	34	2014
M	176	107	69	172	25	42.5	26.5	40	2014
F	164	101	63	164	26	42.5	24	34	2014
M	175	106	69	182	28	44	26	35	2014
M	185	113	72	192	28	44	29	43	2014
M	184	111	73	188	30	47	27	36.5	2014
M	185	112	73	192	28	44	29	43	2014
M	175	105	70	180	29	48	26	37	2014
F	172	104	68	172	27	45	27	32	2013
F	167	102	65	165	27	43	27	36	2013
F	NA	107	67	174	26	44.5	25	33.5	2013
F	170	104	67	168.5	25	43	22.5	32.5	2013
F	170	102	62	173	27	44.5	24	31.5	2013
F	179	112	67	183	28.5	46.5	25	35	2013
F	175.5	108	68	176.5	28	45.5	24	35	2013
M	189	117	72	189	30	50	29	34	2013
F	164	99	65.5	162	27	42	22.5	31.5	2013
M	180	112	68	191	29	48	27	35	2013
F	170	104	66	170	25	42.5	24	39	2013
F	NA	93.5	63.5	152	22.5	38.5	22	31	2013
F	170	104	66	170	25	42.5	24	39	2013
F	174	107	67	174	22	43	23	NA	2013
M	183	113	70	181	31	49.5	27.5	36.5	2013
F	169	100	69	165	27	44	20	34	2013
F	169	104	65	168	26	44	24	30	2013
F	162	97	66	158	25	42	23	31	2013
F	172	104	68	170	26.5	44.5	24	28	2013
F	168	100	69	168	27	43	23.5	30	2013
F	171	102	70.5	159	25	43.5	24	35	2013
F	173.5	107.5	66	176.5	27.5	44.5	24.5	31.5	2013
F	163.5	100	63.5	162.5	26	43.5	24	28.5	2013
M	180	108.5	71.5	185	29	48.5	26.5	35.5	2013
M	185.5	113	70	185.8	29	49.5	25	38	2013
F	176.5	109	67.5	173	25	45	25	34	2013
M	185.5	113	70	185.8	29	49.5	25	38	2013
F	175	107	69	174	27.5	46	26	33	2013
F	170	106	64	169.5	27	44.5	28	33	2013
M	191	118	73	194.5	31	49.5	27	36	2013
M	190	119	71	192.5	29	51	27.5	42	2013
F	166	99.5	66.5	167	26	42	23	29	2013
M	179.5	111	68.5	188	28.5	47.5	26	37	2013
F	155	91	64	150	23.5	38	22	NA	2013
F	172.5	106	66.5	169.5	28.5	45	26	31	2013
F	166.5	99	67.5	160.5	25.5	42	23.5	31.5	2013
F	169	104	65	165.5	25.5	43.5	25	32	2013
F	173	108	65	178.5	28.5	46	24.5	32.5	2013
F	172	102	70.5	169	27.3	43	24	35	2013
F	173	106	67	172	27	45	24	32	2013
M	184.5	110	75	186	31	49	27	40	2013
F	161.5	97	64.5	158	26	38	22.5	34	2013
F	163	100	63	163	24	41	22	37	2013
M	181	117	64	179	29	47	25	33	2013
M	191	113	78	185	28	48	26	42	2013
M	185	113	72	188	28	49	26.5	39	2013
M	180	112	68	185	28	47	26.5	36	2013
F	170	105.5	64.5	174	26	44	23.5	32	2013
M	193	117	76	193	32	49.5	26	39.5	2013
F	167	104	63	166	25	43	23	30	2013
F	164	103	61	161.5	26	42	23.5	32	2013
F	172	104	68	171	25	44	23	31	2013
M	178	111	67	185	30	47.5	NA	NA	2013
M	187	115	72	184	31	50	NA	NA	2013
F	172	106	66	171	25	42.5	23	37	2012
M	182	115	67	191	29	49	29	42	2012
F	157	97	60	156	23	40	24	31.5	2012
F	157	95	62	146	24	45	23	32	2012
F	166	104	62	166	25	41	23	29	2012
F	166	102	64	166	25	43	24	30	2012
F	173	107	66	174	27	43	24	32	2012
F	168	105.5	62.5	169.5	25.7	44	24.5	31	2012
M	177	107.5	68	177.5	26	47	26	40	2012
M	180	106	72	178.5	27	46	25	38	2012
F	176.5	107	65	176	26	46	23	35	2012
F	164.5	95	67	156	23	40	23	35	2012
F	167.4	104.5	62.9	160.5	25	42	21.5	31	2012
M	193	112	81	196.5	28	51	28.5	39.5	2012
M	180	109	71	184.5	30	49	28	36	2012
F	164	100	64	164.5	27	42.5	24	36	2012
M	189.5	109	80.5	188	29.5	49	27	39	2012
F	168	106	63	167	25	42	21	35	2012
F	160	96.5	63.5	161	25	41	21	33	2012
F	164.5	100	64.5	162	23.5	42.5	23.5	34.5	2012
F	164.4	98	66.5	155.5	22.5	38.5	21	28	2012
F	167	101.6	65.4	166	24	43	21	31	2012
F	169	105	65	168	27	44	24	33	2012
F	166	100	66	164	25	42	23	32	2012
F	167	98	66	163	26	40	22	36	2012
M	178	110	66	178	25	42	26	42	2012
F	174	106	66	171.5	26	44.5	25	33	2012
F	171	102.5	63.5	172	26.5	44.5	24	31	2012
F	174	106	66	171.5	26	44.5	25	33	2012
F	171	102.5	63.5	172	26.5	44.5	24	31	2012
F	164.5	100	67	167	28	43	23.5	32.3	2012
M	177	105	72	183	27	47	25	35	2012
F	161	87	74	150	25	41	24	30	2012
M	175	106	68	180	30	48	26	42	2012
